fecha,max,mes
1984,9.8,Diciembre
1985,7.4,Enero
1985,13.6,Febrero
1985,14.3,Marzo
1985,20.7,Abril
1985,21.2,Mayo
1985,28.1,Junio
1985,32.8,Julio
1985,31.4,Agosto
1985,29.7,Septiembre
1985,22.9,Octubre
1985,12.9,Noviembre
1985,9.4,Diciembre
1986,11.6,Enero
1986,11.2,Febrero
1986,16.4,Marzo
1986,15.2,Abril
1986,26.1,Mayo
1986,28.7,Junio
1986,30.8,Julio
1986,31.0,Agosto
1986,27.2,Septiembre
1986,21.6,Octubre
1986,14.8,Noviembre
1986,9.6,Diciembre
1987,8.3,Enero
1987,13.0,Febrero
1987,16.4,Marzo
1987,21.4,Abril
1987,22.4,Mayo
1987,28.6,Junio
1987,30.7,Julio
1987,33.2,Agosto
1987,30.7,Septiembre
1987,20.4,Octubre
1987,14.4,Noviembre
1987,10.7,Diciembre
1988,13.1,Enero
1988,13.1,Febrero
1988,17.3,Marzo
1988,18.2,Abril
1988,23.0,Mayo
1988,25.1,Junio
1988,30.8,Julio
1988,32.0,Agosto
1988,27.7,Septiembre
1988,21.9,Octubre
1988,14.8,Noviembre
1988,10.1,Diciembre
1989,7.6,Enero
1989,14.0,Febrero
1989,19.1,Marzo
1989,17.1,Abril
1989,25.7,Mayo
1989,29.6,Junio
1989,32.7,Julio
1989,32.0,Agosto
1989,26.0,Septiembre
1989,22.5,Octubre
1989,16.6,Noviembre
1989,13.2,Diciembre
1990,10.1,Enero
1990,18.0,Febrero
1990,18.1,Marzo
1990,17.7,Abril
1990,26.8,Mayo
1990,28.9,Junio
1990,33.4,Julio
1990,32.2,Agosto
1990,28.3,Septiembre
1990,21.7,Octubre
1990,14.7,Noviembre
1990,8.5,Diciembre
1991,11.0,Enero
1991,11.9,Febrero
1991,17.2,Marzo
1991,17.5,Abril
1991,21.3,Mayo
1991,28.7,Junio
1991,32.4,Julio
1991,34.7,Agosto
1991,28.1,Septiembre
1991,18.6,Octubre
1991,14.1,Noviembre
1991,11.1,Diciembre
1992,6.8,Enero
1992,13.2,Febrero
1992,16.6,Marzo
1992,20.8,Abril
1992,26.1,Mayo
1992,24.2,Junio
1992,31.9,Julio
1992,32.9,Agosto
1992,26.9,Septiembre
1992,18.0,Octubre
1992,15.6,Noviembre
1992,11.5,Diciembre
1993,9.2,Enero
1993,11.0,Febrero
1993,16.7,Marzo
1993,19.8,Abril
1993,24.3,Mayo
1993,29.6,Junio
1993,30.7,Julio
1993,32.1,Agosto
1993,25.3,Septiembre
1993,17.3,Octubre
1993,12.9,Noviembre
1993,12.5,Diciembre
1994,12.6,Enero
1994,14.3,Febrero
1994,20.3,Marzo
1994,18.5,Abril
1994,25.5,Mayo
1994,29.7,Junio
1994,35.1,Julio
1994,33.2,Agosto
1994,24.8,Septiembre
1994,19.8,Octubre
1994,15.1,Noviembre
1994,12.0,Diciembre
1995,13.1,Enero
1995,16.0,Febrero
1995,17.4,Marzo
1995,21.0,Abril
1995,25.2,Mayo
1995,28.8,Junio
1995,34.2,Julio
1995,31.1,Agosto
1995,25.1,Septiembre
1995,24.5,Octubre
1995,16.7,Noviembre
1995,10.2,Diciembre
1996,12.1,Enero
1996,11.3,Febrero
1996,16.2,Marzo
1996,19.9,Abril
